  20 0.0113214 -0.160308 
  19 0.0113306 -0.143166 
  18 0.0113207 -0.125797 
  17  0.01133 -0.108656 
  16 0.0113203 -0.0912874 
  15 0.0113295 -0.0741482 
  14  0.01132 -0.0567793 
  13 0.0113293 -0.0396407 
  12 0.0113198 -0.0222717 
  11 0.0113293 -0.00513367 
  10 0.0113197 0.0122355 
   9 0.0113293 0.0293732 
   8 0.0113199 0.0467432 
   7 0.0113295 0.0638808 
   6 0.0113201 0.0812504 
   5 0.0113298 0.0983881 
   4 0.0113206 0.115759 
   3 0.0113303 0.132897 
   2 0.0113212  0.15027 
   1 0.011331 0.167409 
  40 0.0291167 -0.160304 
  39 0.0291401 -0.143164 
  38 0.0291149 -0.125793 
  37 0.0291386 -0.108654 
  36 0.0291137 -0.0912837 
  35 0.0291375 -0.0741456 
  34 0.0291129 -0.0567756 
  33 0.029137 -0.0396381 
  32 0.0291125 -0.022268 
  31 0.0291368 -0.00513105 
  30 0.0291123 0.0122393 
  29 0.0291368 0.0293758 
  28 0.0291128 0.0467469 
  27 0.0291375 0.0638835 
  26 0.0291133 0.0812542 
  25 0.0291382 0.0983908 
  24 0.0291145 0.115763 
  23 0.0291395   0.1329 
  22 0.0291161 0.150274 
  21 0.0291414 0.167412 
  60 0.0469019 -0.160301 
  59 0.0469397 -0.143161 
  58 0.0468991 -0.12579 
  57 0.0469372 -0.108652 
  56 0.0468971 -0.0912803 
  55 0.0469355 -0.0741432 
  54 0.0468959 -0.0567721 
  53 0.0469347 -0.0396357 
  52 0.0468952 -0.0222645 
  51 0.0469343 -0.0051286 
  50 0.0468949 0.0122428 
  49 0.0469343 0.0293783 
  48 0.0468957 0.0467505 
  47 0.0469354 0.063886 
  46 0.0468966 0.0812578 
  45 0.0469366 0.0983933 
  44 0.0468984 0.115767 
  43 0.0469387 0.132903 
  42 0.046901 0.150278 
  41 0.0469417 0.167414 
  80 0.0646744 -0.160298 
  79 0.0647265 -0.143159 
  78 0.0646706 -0.125787 
  77 0.0647231 -0.108649 
  76 0.0646677 -0.0912771 
  75 0.0647207 -0.074141 
  74 0.0646662 -0.0567689 
  73 0.0647196 -0.0396335 
  72 0.0646652 -0.0222613 
  71 0.0647191 -0.00512636 
  70 0.0646648 0.012246 
  69 0.0647191 0.0293806 
  68 0.0646658 0.0467537 
  67 0.0647206 0.0638883 
  66 0.064667 0.081261 
  65 0.0647222 0.0983956 
  64 0.0646696  0.11577 
  63 0.0647252 0.132905 
  62 0.0646732 0.150281 
  61 0.0647293 0.167417 
 100 0.0824298 -0.160295 
  99 0.0824961 -0.143157 
  98 0.0824249 -0.125784 
  97 0.0824918 -0.108647 
  96 0.0824213 -0.0912742 
  95 0.0824888 -0.074139 
  94 0.0824193 -0.056766 
  93 0.0824873 -0.0396314 
  92 0.0824181 -0.0222583 
  91 0.0824867 -0.00512428 
  90 0.0824176 0.012249 
  89 0.0824867 0.0293827 
  88 0.0824189 0.0467567 
  87 0.0824886 0.0638904 
